catalog_id	catalog_snp_pos	strand	RDA1	RDA2
136651	184	-.0	-0.12868061576721465	-0.0016798256716131711
136715	68	-.0	-0.23859753438975426	0.00408320704458918
168842	25	+.0	-0.06275791643834346	0.0043225275059759144
168960	217	-.0	0.053396185323984886	-1.5282949104478895e-4
180600	129	-.0	0.08485105269535848	-0.015554937139564325
180651	118	-.0	-0.09992318035825544	0.005936830138158382
20427	30	+.0	0.07649169750782446	0.005582059868008874
20599	69	+.0	0.10358130276596081	-0.0030816994206540145
20615	37	+.0	0.05631102479047622	0.027199889900804294
20690	101	-.0	0.0762551359534447	0.0066312635455095205
20744	43	+.0	-0.1947965845527031	-0.022205589997318812
20747	109	-.0	-0.16534930491638827	-0.012824668474187995
20860	40	-.0	-0.19245304972536956	0.0039798056806005615
20875	13	-.0	0.04964408779974452	0.013670189643384432
209756	86	+.0	0.1030970651470216	-0.00437618278070865
209758	65	-.0	0.040955924261774565	0.00624890216497862
21082	177	+.0	-0.08833162333099386	0.004972202281673756
22896	48	+.0	-0.04056390310510705	0.0054269763387927
23419	7	+.0	-0.08863053268635959	0.0037925873434309877
23616	84	-.0	0.07430706377753551	-0.00808048969349631
23804	134	+.0	-0.20191731141933586	-0.010577907955186228
23881	8	-.0	0.04049494988653931	0.014881462206679736
23907	127	-.1	0.2122203453660437	-9.626895538821125e-4
23913	110	-.0	-0.2506587389255281	0.0057986462743728154
23943	27	+.0	0.04839950493985881	0.021180901777541627
273473	85	-.0	-0.09036031079025007	-0.014090262553328866
312047	19	-.0	0.06382243218239086	0.012113187067307537
407057	39	-.0	-0.05217241010133268	-0.03273631108663164
411712	27	+.0	0.104047562765581	0.00795826888634347
411755	34	-.1	-0.08444418739780785	0.002765297865111611
456853	23	-.0	0.05216043219504233	-0.006964992219794823
467913	22	-.0	-0.17770760280273773	0.009020970725497016
473152	26	-.0	-0.045185325411133216	0.01841003148695391
486918	26	-.0	-0.17958164595121942	-0.01243127069116811
486922	11	-.0	0.13630236193028458	-0.0021162064620118166
497206	164	-.0	-0.2694888516045095	0.015373753305240285
497213	177	+.0	-0.17887882428493143	0.014351575738807075
497233	39	-.0	-0.07417497337164491	0.004539395628746049
498575	79	-.0	-0.04048932919315643	-0.010867691544240957
530671	16	-.0	-0.08828215861261017	0.008595111895343082
530738	103	+.0	-0.15356235617448138	0.001800772736098157
596455	20	-.0	-0.10506104850467216	0.003545663748223668
650709	23	-.0	-0.2350624584448931	-0.00785673817136505
650743	20	-.0	-0.2379931189601145	-0.009090949320116002
699988	77	+.0	0.04424249616623639	0.0042414894315027565
700010	73	+.0	-0.23504380294680272	0.0011618022039192352
703387	80	-.0	0.04419095926334847	-0.022723232234231023
705793	29	-.0	0.052720580089140004	-0.002430523985265499
709045	183	-.0	-0.1261129307065904	-0.014239689059035944
720069	166	-.0	0.043840746356113784	-0.004576766943835855
728748	78	+.0	-0.2143969358315113	-0.004474975899501887
76448	55	+.0	0.04268160488294504	-0.002263625584608961
773756	69	-.0	-0.07450051436696166	-0.001791485422903222
776235	31	+.0	-0.07576389680340567	-0.0011323963363083298
794655	24	-.0	-0.044054793128656164	0.006784427003077778
797025	81	+.0	0.09999159027066805	-0.010545967722423465
808993	125	+.1	-0.09869311809910569	0.0043680368726699585
848274	36	-.0	-0.08813178026429169	0.004429292314549297
854337	16	+.1	-0.04368942002301822	-0.032401491604795114
859594	18	-.0	-0.20895865481122403	0.016658189707424314
866549	52	-.0	0.04700952602432306	0.01714625966004929
879444	57	-.0	-0.10570152358827022	-0.0033539278321873815
879461	33	+.0	-0.10058856349225447	-0.0015863364126656552
890745	75	+.1	-0.047323285554472294	-0.03186823143979025
890951	237	-.0	0.04848257604916522	0.010325890493815703
903361	46	+.0	0.091843289678523	-0.004368069708840602
913269	28	+.0	-0.04761480072417481	0.01711332107683832
978375	49	+.0	-0.22784957513176218	-0.010383797842751901
998124	6	+.0	-0.18813983332239387	0.0015144045240474836
